merchant,period,churn_predicted,churn_probability
0517835bfd,2034-10,1,0.38
05180aa60f,2034-12,0,0.01
05363466c3,2034-12,1,0.39
05368eca16,2034-12,0,0.3
053fce921c,2034-10,1,0.52
0550adb968,2034-10,1,0.76
056770137d,2034-12,0,0.28
057bb1337e,2034-12,0,0.0
0587f9bbc5,2034-12,0,0.11
05892269a8,2034-12,0,0.11
058cb2577e,2034-11,0,0.25
0592d9986e,2034-10,1,0.61
059384540e,2034-12,1,0.39
059df04f2e,2034-12,0,0.33
059e591057,2034-12,0,0.06
05a588aacf,2034-11,1,0.41
05a96cf0b0,2034-11,1,0.76
05ab7f3221,2034-12,1,0.6
05abc4840d,2034-12,0,0.25
05bc42300f,2034-12,0,0.07
05dcdc8922,2034-12,0,0.03
05df92ca17,2034-12,1,0.35
05e25ae8cc,2034-12,1,0.43
05ef1864b5,2034-12,0,0.22
05ef767b25,2034-12,1,0.48
05f1ee1ae0,2034-12,1,0.61
05f9dc70d1,2034-10,1,0.38
06020bd10c,2034-11,1,0.47
0602a09bbe,2034-12,0,0.03
060d47d98a,2034-12,0,0.14
060f20c522,2034-12,1,0.44
06141aa7d9,2034-12,1,0.41
0624fec613,2034-12,0,0.25
062b476e88,2034-12,1,0.57
062dcb31f4,2034-10,1,0.52
062dd85911,2034-12,0,0.13
062de5273b,2034-12,0,0.0
06452f754d,2034-12,1,0.42
0646c31f12,2034-12,0,0.0
0658faddd3,2034-10,0,0.24
065dd572cb,2034-12,0,0.2
0669870b12,2034-12,1,0.38
066f848435,2034-12,1,0.36
0673ba122d,2034-12,0,0.06
06886c579b,2034-12,1,0.37
068da9961c,2034-12,0,0.18
06919faa0d,2034-11,1,0.88
069387ea71,2034-11,0,0.29
0694eeac36,2034-12,1,0.39
06b38a8036,2034-12,0,0.01
06ba8a259d,2034-10,0,0.11
06bb3cd095,2034-12,0,0.08
06ce3d206e,2034-12,1,0.82
06dee9bd7f,2034-12,0,0.16
06e4a6a542,2034-12,1,0.67
06e69bee48,2034-12,0,0.09
06ea7b2a13,2034-11,1,0.54
06eb50b397,2034-12,1,0.44
06fe79e266,2034-12,0,0.02
07050daa5a,2034-12,0,0.23
0708932ae4,2034-12,0,0.0
070a64fdb2,2034-12,0,0.23
0710b48578,2034-12,1,0.36
0713c6c0b2,2034-11,1,0.73
073172886e,2034-12,1,0.36
0757f77d48,2034-12,0,0.01
076f22d71a,2034-12,0,0.05
076f4223d9,2034-12,0,0.08
076fcc6524,2034-12,0,0.15
0771a6019c,2034-11,0,0.29
07858fb54b,2034-12,0,0.0
07861ae47a,2034-12,0,0.15
079eaddbd7,2034-12,0,0.14
07b228da98,2034-11,0,0.11
07b3639663,2034-11,1,0.78
07c91f9cc7,2034-12,0,0.01
07cabcb557,2034-12,0,0.35
07ce9e198f,2034-11,0,0.27
07db279239,2034-12,0,0.06
07dc3c8133,2034-12,1,0.61
07de7f5aa7,2034-10,1,0.43
07ee59a601,2034-10,0,0.25
07f13ce0d2,2034-12,1,0.57
0805e44349,2034-10,1,0.57
081cba096f,2034-12,0,0.0
082cc080a7,2034-11,0,0.18
083430c126,2034-11,1,0.37
0849256ce5,2034-12,0,0.22
084c50fa18,2034-12,0,0.07
0873bbb5ff,2034-12,0,0.0
08798ceafd,2034-12,1,0.49
088b6b8268,2034-11,1,0.69
088f8fe935,2034-11,0,0.06
089c81cedb,2034-12,0,0.01
089cbf5125,2034-12,0,0.01
08a29bc58e,2034-12,0,0.06
08c263b417,2034-10,1,0.4
08cfeff7c8,2034-12,0,0.07
08d65db79c,2034-12,1,0.56
08d662e3f7,2034-12,0,0.01
08da21a70b,2034-12,0,0.25
08ee7ca022,2034-12,0,0.01
08f31d2060,2034-11,1,0.63
08fd62f07d,2034-12,0,0.01
090f4a9b29,2034-10,1,0.48
0922aa4a1c,2034-12,0,0.07
0936e10a2a,2034-12,0,0.02
093bb0a4d7,2034-12,0,0.0
094cee4236,2034-12,0,0.0
094d204f31,2034-11,1,0.36
094d5502f7,2034-11,1,0.88
0950da1dfe,2034-11,0,0.01
0955c7fd1c,2034-11,1,0.63
09627d24e7,2034-12,0,0.02
096ab94651,2034-12,1,0.7
0972e100cc,2034-12,1,0.41
097669f1f0,2034-12,1,0.89
097dbd1358,2034-12,0,0.26
098303729a,2034-10,0,0.34
098ee0e6ca,2034-10,0,0.32
09a45c7006,2034-10,0,0.27
09a5e17225,2034-12,0,0.0
09abd93684,2034-11,1,0.42
09b0864a3a,2034-11,0,0.16
09b604ebf7,2034-12,0,0.29
09c186482d,2034-12,0,0.33
09c1c3dff1,2034-12,1,0.49
09cbdb193e,2034-12,0,0.09
09d00ef9dc,2034-12,0,0.11
09d5dd8e9b,2034-12,0,0.19
09d6f1f84a,2034-10,1,0.63
09d9f3e0e1,2034-12,0,0.03
09e1c644f6,2034-12,0,0.01
09f16a42a2,2034-11,0,0.02
09f66ceb4b,2034-12,0,0.03
09f82bb296,2034-12,0,0.01
09fd4e4c70,2034-12,1,0.45
0a024af532,2034-12,1,0.75
0a0b0f5cf1,2034-11,0,0.21
0a0d8d3537,2034-12,1,0.93
0a0f2434bb,2034-12,0,0.27
0a0f945c59,2034-12,1,0.43
0a1dbf841c,2034-12,0,0.16
0a24e57183,2034-12,1,0.66
0a269f78e4,2034-12,0,0.23
0a28a894fb,2034-10,0,0.33
0a34f05383,2034-12,0,0.05
0a4da2ae03,2034-11,1,0.61
0a4f9d529b,2034-11,0,0.33
0a556ad0a3,2034-12,0,0.3
0a603fe5dc,2034-12,0,0.35
0a63ae5fa9,2034-12,0,0.26
0a65298b4a,2034-12,0,0.09
0a6c6685a9,2034-11,0,0.32
0a6c732002,2034-12,0,0.02
0a7047269a,2034-11,1,0.9
0a752679ec,2034-12,0,0.03
0a7890e3ac,2034-12,0,0.09
0a7d56323b,2034-11,0,0.13
0a85289b53,2034-12,0,0.0
0a8cf62f3a,2034-12,0,0.01
0aa3f95957,2034-12,0,0.07
0aa4941875,2034-12,1,0.77
0ab494ace9,2034-12,1,0.58
0abe66f34e,2034-10,1,0.38
0abef52aed,2034-12,0,0.03
0ad5b051ff,2034-12,0,0.03
0ad7ef964a,2034-10,0,0.19
0adefa3961,2034-12,0,0.06
0ae2b1b85d,2034-11,0,0.29
0ae3655030,2034-12,1,0.73
0aefb040fb,2034-11,1,0.57
0af62f356f,2034-10,1,0.39
0b054db33f,2034-12,0,0.02
0b0911915a,2034-12,0,0.32
0b11bfd26d,2034-12,0,0.13
0b229bf299,2034-12,0,0.0
0b229d996f,2034-12,0,0.01
0b258d808c,2034-12,0,0.02
0b2abcaf8a,2034-11,1,0.82
0b35b79847,2034-12,0,0.16
0b3b179a82,2034-11,0,0.33
0b3c07e00a,2034-12,0,0.0
0b41b2c3ec,2034-10,0,0.27
0b48de803f,2034-12,1,0.56
0b4ce03036,2034-12,0,0.0
0b5be2151f,2034-10,0,0.25
0b6780cd15,2034-12,1,0.44
0b6d7fc989,2034-12,0,0.01
0b82557b6c,2034-12,0,0.08
0b88f468ca,2034-12,0,0.02
0b963921ac,2034-12,1,0.45
0b9a741bf0,2034-12,0,0.11
0b9bfe6095,2034-10,1,0.59
0ba0fff32e,2034-12,0,0.14
0ba3b2297d,2034-11,0,0.17
0ba413567e,2034-10,0,0.33
0baaedfc9a,2034-12,0,0.02
0bb0c6ecce,2034-12,0,0.18
0bc35f3cb5,2034-12,0,0.04
0bc3f86223,2034-12,1,0.64
0bc75e5563,2034-11,1,0.56
0bd33f73df,2034-10,1,0.48
0bdc2ed88a,2034-12,0,0.16
0beebef6ce,2034-12,0,0.33
0bf496060d,2034-11,0,0.12
0bf7dbf7ac,2034-11,1,0.55
0c14bda5db,2034-12,0,0.05
0c15456229,2034-12,0,0.24
0c1a5da60c,2034-12,0,0.02
0c1bc36fb4,2034-11,1,0.47
0c2082e95b,2034-12,0,0.13
0c325710ec,2034-12,1,0.47
0c36b7e6c7,2034-12,1,0.7
0c42436833,2034-12,0,0.01
0c42f7bb96,2034-12,0,0.18
0c43e8ca9c,2034-12,0,0.04
0c4ce6f26c,2034-12,0,0.06
0c4cf38491,2034-12,0,0.06
0c51aba006,2034-12,0,0.05
0c523ac68b,2034-10,1,0.36
0c55cbcfa3,2034-12,0,0.18
0c60254148,2034-12,0,0.13
0c624ef0d9,2034-12,0,0.01
0c6a6d801c,2034-12,0,0.3
0c8449b643,2034-12,0,0.01
0c848795d7,2034-12,0,0.02
0c87f808d0,2034-11,0,0.26
0c8b81813d,2034-12,1,0.65
0c9299d5ff,2034-11,0,0.31
0c988402c3,2034-12,0,0.28
0c9a5a4a5f,2034-12,0,0.0
0c9bb617f4,2034-11,1,0.46
0ca55b00bb,2034-12,0,0.03
0cab60aad0,2034-12,0,0.29
0cb50c6516,2034-12,0,0.07
0cc4c184f5,2034-11,1,0.6
0cc4c85503,2034-11,0,0.09
0cd1a9a119,2034-10,1,0.75
0cd5f38d30,2034-12,0,0.01
0cd8d199c7,2034-12,0,0.33
0cdafd37b6,2034-12,0,0.06
0cde374cf3,2034-12,0,0.28
0ceeca5e66,2034-12,0,0.12
0cf3c80825,2034-10,1,0.94
0cf7b0527d,2034-12,0,0.02
0cf8ce0e60,2034-11,0,0.13
0cfa341f4b,2034-12,0,0.08
0d0737f944,2034-12,0,0.01
0d0d5c5b00,2034-11,0,0.11
0d126dad44,2034-12,0,0.12
0d1860186a,2034-12,0,0.27
0d19c0e3c5,2034-12,1,0.67
0d1fb59de7,2034-12,0,0.05
0d2b8355b8,2034-12,0,0.07
0d2ba61662,2034-10,0,0.27
0d413426ff,2034-12,1,0.37
0d44bba32b,2034-12,1,0.84
0d46774419,2034-12,1,0.43
0d5c5a2eeb,2034-12,1,0.72
0d66846513,2034-12,1,0.68
0d6cf3f065,2034-12,0,0.03
0d78a0fea0,2034-12,1,0.79
0d970b6c59,2034-12,0,0.03
0d9b457179,2034-12,0,0.14
0d9dfc517b,2034-12,0,0.03
0da355acb7,2034-12,1,0.41
0da6268949,2034-12,0,0.02
0da85f799d,2034-12,0,0.0
0da9248d6b,2034-12,1,0.8
0daee23fa7,2034-12,0,0.01
0dc1aa4ec0,2034-12,0,0.11
0dc71684a3,2034-12,0,0.01
0dc729ce0e,2034-12,1,0.74
0dcbbcf56b,2034-11,1,0.39
0dcdd33cbf,2034-12,0,0.01
0dcfe8a733,2034-12,0,0.03
0dd0df2376,2034-10,0,0.28
0dd197abb6,2034-10,1,0.57
0dd70972ac,2034-12,0,0.03
0de10f7f0e,2034-12,1,0.75
0df98632de,2034-11,0,0.33
0e0a099082,2034-12,0,0.01
0e111e273a,2034-12,0,0.19
0e1285dc0f,2034-12,0,0.06
0e17fd8764,2034-11,1,0.54
0e1a144c52,2034-12,0,0.3
0e1ac57a3e,2034-12,0,0.02
0e1b2fa703,2034-12,1,0.64
0e28152c28,2034-10,0,0.31
0e373438d2,2034-12,0,0.01
0e4074d3c1,2034-12,0,0.15
0e41bf5380,2034-12,0,0.16
0e4abaae23,2034-12,1,0.59
0e4bf1a973,2034-10,1,0.38
0e4e8c28ec,2034-12,0,0.06
0e5623d2c9,2034-12,0,0.31
0e57edbeea,2034-11,1,0.47
0e5b405f1c,2034-11,0,0.25
0e5b9a5445,2034-12,0,0.0
0e743b4611,2034-12,1,0.51
0e75ab58c8,2034-12,0,0.01
0e8323741e,2034-12,1,0.41
0e870ea3cd,2034-10,0,0.19
0e8a94eb46,2034-12,0,0.05
0e99bce5c0,2034-12,0,0.16
0ea61f6e6b,2034-12,1,0.76
0eaef325c5,2034-11,0,0.05
0eb6bb02fe,2034-12,0,0.12
0ec8bc5759,2034-12,0,0.0
0edc5c0cf2,2034-12,0,0.31
0ee6e88d7f,2034-12,0,0.31
0ee70bd595,2034-12,0,0.13
0eec9b12ca,2034-12,1,0.68
0ef0cc42c3,2034-12,1,0.67
0ef938389d,2034-10,0,0.19
0f10f35d0a,2034-12,0,0.03
0f226d1ee4,2034-12,0,0.0
0f27eb078a,2034-10,1,0.46
0f2a712e17,2034-12,1,0.62
0f319eef09,2034-12,0,0.07
0f3f5de835,2034-12,0,0.01
0f40677ab7,2034-12,0,0.06
0f4b6f1ee1,2034-12,0,0.01
0f5db3e6b1,2034-10,0,0.19
0f5f24dba3,2034-11,0,0.04
0f602083ca,2034-10,1,0.55
0f6827b118,2034-10,1,0.52
0f770476b9,2034-12,0,0.02
0f78f250fd,2034-12,0,0.34
0f83947729,2034-12,0,0.07
0f861be830,2034-11,0,0.14
0f89550050,2034-12,0,0.01
0f960ee8c7,2034-12,0,0.15
0f9a3906f3,2034-11,1,0.42
0f9b4bb9a5,2034-10,1,0.65
0fa1e2ca02,2034-12,1,0.47
0fa4b290f9,2034-11,1,0.66
0fa8d3ebd7,2034-11,1,0.68
0fac14acba,2034-12,1,0.68
0fc8467324,2034-12,0,0.11
0fccf6db39,2034-12,0,0.08
0fcdd6712f,2034-12,0,0.26
0fd2eee00a,2034-12,1,0.88
0fdeb241a9,2034-12,0,0.09
0fe05fa85c,2034-12,0,0.24
0fe3891876,2034-12,0,0.04
0fe7c5b4c4,2034-12,0,0.3
0fff330e94,2034-12,0,0.28
1.01E+77,2034-12,0,0.0
1.36E+23,2034-12,1,0.86
1.53E+07,2034-12,1,0.37
1006410b0f,2034-10,1,0.61
10066dc0cd,2034-11,0,0.15
100fce6e8a,2034-12,0,0.32
1021b46076,2034-12,0,0.01
102ccaaf5f,2034-12,0,0.03
102e6602b6,2034-11,0,0.14
10354a8d59,2034-10,1,0.53
103a26d267,2034-12,0,0.02
103d1a7af6,2034-12,0,0.01
10469dd1dd,2034-12,1,0.53
104b6e53aa,2034-12,0,0.06
105b0428ca,2034-12,0,0.15
10605bfae4,2034-11,1,0.7
10634ec8d9,2034-12,0,0.09
107149043,2034-12,0,0.16
107e418cd3,2034-12,0,0.04
10956928d5,2034-10,1,0.64
10974d67fa,2034-12,0,0.02
109ce85b3d,2034-12,0,0.08
10b23c22ea,2034-11,0,0.3
10c66bc0f5,2034-10,1,0.57
10d166d112,2034-12,0,0.01
10f3baa29f,2034-12,0,0.31
11090b955f,2034-12,1,0.61
111429408b,2034-12,0,0.11
111dfbaa63,2034-12,0,0.31
111f4871b7,2034-12,0,0.18
112052893c,2034-12,0,0.08
1120b6613c,2034-12,0,0.24
112c2c0bf3,2034-12,0,0.05
11464843d0,2034-12,0,0.0
11509f4843,2034-12,0,0.35
115a9836c9,2034-11,0,0.33
115e4f9db7,2034-12,1,0.36
116b98b2d3,2034-12,0,0.0
116e6da3a5,2034-12,0,0.05
11705c592b,2034-11,1,0.51
117309a6d0,2034-11,0,0.13
11760d401f,2034-12,0,0.23
1187bdd21c,2034-10,1,0.86
11880ae7f7,2034-12,1,0.85
1189c7e2b4,2034-10,0,0.2
11975f32df,2034-12,0,0.22
119ad681af,2034-12,0,0.1
11a4fd1132,2034-12,0,0.04
11a9efa930,2034-12,0,0.12
11ad15aa3b,2034-12,1,0.38
11b99ec98d,2034-12,0,0.03
11ba6a7ddd,2034-12,0,0.18
11c2491fa7,2034-11,1,0.41
11ca716a2c,2034-12,0,0.01
11d9143c14,2034-12,0,0.12
11e8dfd52f,2034-12,0,0.01
11f915093e,2034-12,0,0.01
11f97078d0,2034-12,0,0.26
11fbac8852,2034-12,0,0.14
1202d8adae,2034-10,1,0.42
120fcde6bb,2034-10,1,0.43
12108eb9de,2034-11,1,0.79
12157b6089,2034-12,0,0.24
121d88aa10,2034-12,1,0.69
122449c1fe,2034-12,0,0.03
122a1f465d,2034-12,0,0.03
122bd8792e,2034-12,0,0.0
12418d7f3e,2034-11,1,0.39
124d157d5e,2034-12,1,0.84
1253ad5fc5,2034-10,1,0.51
1258ece644,2034-12,0,0.22
1268ebc853,2034-12,1,0.6
1288dbf1b4,2034-12,0,0.2
129f2874f7,2034-11,1,0.4
12a5a027c2,2034-12,0,0.08
12b5412cb5,2034-12,0,0.0
12ba28031b,2034-12,1,0.77
12d1ae10b1,2034-12,0,0.29
12e5f58798,2034-12,0,0.01
12e6d8b94c,2034-12,0,0.28
12eeb346ba,2034-12,1,0.38
12ef7c3dcb,2034-12,0,0.01
12f172e87e,2034-10,1,0.87
12fcd91902,2034-12,0,0.13
1300b64523,2034-10,0,0.25
1302234fdd,2034-12,0,0.23
1303312413,2034-11,0,0.33
1304500882,2034-12,0,0.04
131192796c,2034-11,1,0.93
131634510f,2034-12,1,0.52
131a1edf9c,2034-11,1,0.39
1320577348,2034-12,0,0.08
132770f6c4,2034-12,0,0.2
133251a9f0,2034-12,0,0.03
1356b22d93,2034-12,0,0.06
137e9ab941,2034-11,1,0.59
137e9eadcd,2034-12,0,0.06
138cc20171,2034-12,1,0.48
13a607c373,2034-12,1,0.59
13a8bab7c6,2034-12,0,0.17
13ae49f540,2034-12,1,0.6
13afa27111,2034-12,0,0.05
13b8e7039e,2034-12,0,0.3
13bf137201,2034-12,0,0.11
13c43b8d4b,2034-12,1,0.73
13cbad1125,2034-11,0,0.05
13ce0fe7c0,2034-11,0,0.34
13d1af8e0a,2034-12,0,0.02
13dbe6dc9d,2034-12,0,0.08
13de70ec06,2034-12,0,0.1
13e122d003,2034-12,0,0.09
13e7856ebc,2034-10,1,0.58
13e89f1b4a,2034-12,0,0.0
13ebe7a4fc,2034-12,0,0.02
1407d62a94,2034-12,1,0.5
1418fff7ed,2034-11,1,0.44
141f455334,2034-12,0,0.01
142835b78d,2034-12,0,0.07
1428be8217,2034-11,0,0.13
14306c896e,2034-12,0,0.05
143d076a41,2034-12,0,0.07
1450a7241f,2034-12,0,0.02
1455905337,2034-11,1,0.44
145a79e60d,2034-12,0,0.12
146dc43d6d,2034-12,0,0.17
14807adfeb,2034-12,1,0.45
148a2908ca,2034-12,0,0.24
149aa9b00c,2034-12,0,0.07
149e2ab6ec,2034-10,1,0.53
149eb2cca9,2034-12,0,0.03
149ef55449,2034-12,0,0.14
14a148b059,2034-12,0,0.02
14a3b2a088,2034-12,0,0.08
14a4fef561,2034-12,0,0.12
14a6a7bec6,2034-12,0,0.32
14aadb4a63,2034-12,0,0.02
14bb7e53c7,2034-12,0,0.22
14c558af7d,2034-12,1,0.78
14c82c0058,2034-12,0,0.02
14d9087ff1,2034-11,0,0.23
14d9bfdbdd,2034-12,1,0.67
14e0a3c4e1,2034-12,0,0.02
14eadec58f,2034-12,0,0.04
14f28a93a2,2034-12,1,0.76
14f789ac6a,2034-12,0,0.04
15276e9757,2034-10,1,0.84
152bc23b2e,2034-12,1,0.73
1544f17f15,2034-12,0,0.1
1547182ac5,2034-11,0,0.13
154af8b163,2034-12,0,0.22
155300a271,2034-10,0,0.19
1553a89749,2034-12,0,0.0
1554c78db5,2034-11,0,0.26
1556c326ad,2034-10,1,0.47
155782f203,2034-12,0,0.27
155f9c4e52,2034-12,0,0.12
1576fcba87,2034-12,0,0.07
1578ac7028,2034-12,0,0.0
157a71d180,2034-12,0,0.02
15864c9929,2034-12,0,0.04
15881ae66a,2034-12,1,0.49
158c066755,2034-12,0,0.05
1595e91cd1,2034-10,0,0.2
1597cc1224,2034-12,0,0.34
159ca2f750,2034-12,1,0.78
15a27f4bb1,2034-12,0,0.0
15a620c0f1,2034-12,0,0.03
15acd148b7,2034-12,0,0.02
15b1a0d61e,2034-12,0,0.0
15b808ac3f,2034-12,0,0.03
15f476667b,2034-12,0,0.17
15f6e311ad,2034-12,0,0.28
16069dd1ca,2034-12,1,0.57
160c77a6ff,2034-11,1,0.38
16181208cc,2034-12,1,0.35
16249cc125,2034-12,0,0.01
1632e0b9bf,2034-11,0,0.11
163304a399,2034-12,0,0.02
163e36112b,2034-12,0,0.02
16445475fa,2034-12,0,0.05
164ba405db,2034-12,0,0.02
164d2b114e,2034-12,0,0.09
165142c54a,2034-12,1,0.73
165d0f1379,2034-12,0,0.12
165f3ec66e,2034-11,1,0.58
166511ee69,2034-12,0,0.29
167a8f2997,2034-12,1,0.73
167f8c221b,2034-12,0,0.02
1694636893,2034-11,1,0.42
16a13098ae,2034-12,0,0.11
16acd8f383,2034-12,0,0.0
16b066518f,2034-12,1,0.92
16b568932a,2034-10,0,0.2
16b8a59b8a,2034-12,1,0.51
16baa8cec9,2034-12,0,0.2
16be482ed7,2034-11,1,0.53
16cd0d5ef3,2034-12,0,0.04
16cd9fe8ee,2034-10,0,0.14
16d65ffe76,2034-12,0,0.0
16de340ada,2034-12,0,0.23
16e40c6c0d,2034-12,0,0.19
16ee15b221,2034-12,0,0.23
170137143f,2034-12,1,0.39
170acb3c00,2034-12,0,0.06
170ba764bb,2034-12,1,0.7
1710995613,2034-12,0,0.01
171fd8521e,2034-10,0,0.03
173b7c09c6,2034-12,0,0.06
173d155d75,2034-12,0,0.25
1743223511,2034-12,0,0.01
17601fe179,2034-11,0,0.04
1761459eba,2034-12,0,0.01
17702bb41f,2034-12,0,0.17
17721d040a,2034-12,0,0.14
177284ba93,2034-10,1,0.42
1774650e0c,2034-12,0,0.01
178168d7f3,2034-12,0,0.09
17862b3d2d,2034-12,1,0.52
17876e32c5,2034-12,0,0.01
1789c0a39b,2034-11,0,0.17
17942de3cd,2034-12,0,0.2
1799e16cf7,2034-12,0,0.24
17a45e9e4d,2034-12,0,0.01
17a5cb743f,2034-12,0,0.01
17a9e8de1b,2034-12,1,0.82
17aa157efd,2034-12,0,0.13
17b9c310f2,2034-12,0,0.08
17bd15fa06,2034-11,1,0.7
17bdce7065,2034-12,0,0.01
17bed86e22,2034-12,0,0.03
17bf26dfbd,2034-12,1,0.5
17c5654aca,2034-12,0,0.24
17d982254a,2034-12,0,0.04
17ddf49c15,2034-12,1,0.72
17e24ce7ad,2034-12,0,0.09
17f1fed8f5,2034-12,0,0.14
18055044f9,2034-10,0,0.05
180895c017,2034-12,0,0.28
180b29b7c9,2034-12,0,0.16
180f18e056,2034-12,0,0.19
1814228096,2034-12,0,0.04
18146c1e94,2034-12,0,0.16
1818afec49,2034-12,0,0.01
181dc0e864,2034-12,0,0.23
1820e9a27a,2034-11,0,0.06
1821d438d9,2034-12,0,0.25
18224e435e,2034-12,0,0.07
1827e7166f,2034-12,0,0.0
1828a6f256,2034-12,0,0.22
182e81aa25,2034-12,0,0.01
182f5b9a8b,2034-12,1,0.5
183c9d7fc1,2034-12,1,0.41
