merchant,category
038850129c,Low Volume
03887a71d1,Low Volume
038e2ec826,Very Low Volume
0391fb7b00,Average
039a44c951,Average
039b70019c,Average
039c0136d4,Single Tx
039c624709,Average
039eee412f,Average
039fb73850,High Vol: Low Tx Amount + High Freq
03a1f22994,Low Volume
03ad8516c9,Average
03b0467f62,Low Volume
03b2c009ac,Single Tx
03bd2d6a2b,Average
03bf1b16b5,Average
03c0cdb80d,Single Tx
03c4d7917f,Very Low Volume
03c67a80f6,Average
03c9730422,Average
03cd2d8d46,Very Low Volume
03cd6e301b,Average
03d5e128b9,Low Volume
03e0a4c3f5,Average
03e191402d,Average
03e1d63f5b,High Vol: Low Tx Amount + High Freq
03e975f0a7,Average
03ea5430e3,Very Low Volume
03ea9c8bea,Average
03f2100e21,Single Tx
03f760dbc5,Average
03f7a6bdc7,Average
03fbb5ba68,Average
040527ae9b,High Vol: High Tx Amount + Low Freq
04056f3ad9,Single Tx
040a4b7401,Average
0411785a8c,Average
0413bdb4be,Average
0422b3d34e,Very Low Volume
042862b353,High Vol: High Tx Amount + Low Freq
0429c84fdf,Low Volume
042cf1e451,Very High Volume
042cfb087c,Average
042df1c724,Single Tx
043ee101fa,Average
0443f05716,Single Tx
04496f37f9,Low Volume
044ebe709c,Average
04523ba98a,Average
045298a8d0,Single Tx
045a1c428b,Average
045b24ba31,Average
045b70226b,Average
046262baea,Single Tx
046802909f,High Vol: High Tx Amount + Low Freq
04763c9a83,Average
047a744051,Average
048665266d,Average
04881fa402,Average
048e90b002,Average
049869edd9,Average
049c02b52c,High Vol: High Tx Amount + Low Freq
049fe6e489,Average
04a4b501b9,Average
04a764b433,Average
04a9a88e94,Average
04b048edb3,Single Tx
04b2dc3bef,Average
04b7202cb7,Low Volume
04bb68b305,Average
04c20ed040,Low Volume
04c505cbb7,Single Tx
04c598cd61,Average
04d0bf6fd3,Average
04d3cda5c2,Low Volume
04d530d1f3,Low Volume
04dcd64a6c,Very Low Volume
04df022867,Average
04e034b056,Average
04e0e5fd73,High Vol: Low Tx Amount + High Freq
04e9b7151f,Low Volume
04ec60b431,Average
04ed32e789,Average
04f8a5a2f9,Average
050193a290,High Vol: High Tx Amount + Low Freq
0502d0f26e,Average
0510fa4210,Low Volume
0513f88fe0,Single Tx
051728b789,Average
0517835bfd,Very Low Volume
05180aa60f,Average
05231c0e87,Average
05363466c3,Average
05368eca16,High Vol: High Tx Amount + Low Freq
053fce921c,Average
054eaade5d,Single Tx
0550adb968,Single Tx
0554fd0092,Average
05632f1f20,Average
056770137d,Average
056a6336bd,Average
057a385c81,Average
057bb1337e,High Vol: Low Tx Amount + High Freq
057d079cde,Single Tx
0585329a8e,Average
0587f9bbc5,Average
058879b0a0,Low Volume
05892269a8,High Vol: High Tx Amount + Low Freq
058cb2577e,Low Volume
0592d9986e,Average
059384540e,Average
059896f2b3,Low Volume
0599b37f20,Average
059df04f2e,High Vol: High Tx Amount + Low Freq
059e591057,Average
059f618474,Average
05a588aacf,Average
05a9008f40,Average
05a96cf0b0,Low Volume
05ab7f3221,Very Low Volume
05abc4840d,Average
05bc42300f,Low Volume
05c507156d,Average
05c753e5d8,Average
05cce5553f,Average
05dcdc8922,Average
05df92ca17,Low Volume
05e153fa55,Low Volume
05e25ae8cc,Average
05ef1864b5,Low Volume
05ef767b25,Average
05f194dc09,Average
05f1ee1ae0,Single Tx
05f58dab9f,Average
05f7079ee2,Average
05f9dc70d1,Average
06020bd10c,Low Volume
0602a09bbe,Low Volume
06076d055c,Average
060c3d600d,Single Tx
060d47d98a,Low Volume
060f0d8044,Low Volume
060f20c522,Average
06141aa7d9,Low Volume
0615ebe192,Single Tx
0616546a43,Average
0621494b75,Low Volume
0622a7adb5,Single Tx
0624fec613,Very Low Volume
062b476e88,Very Low Volume
062dcb31f4,Low Volume
062dd85911,Average
062de5273b,High Vol: Low Tx Amount + High Freq
06335890c6,Average
0633fd0997,Average
06430cccbf,Average
06452f754d,Low Volume
0646c31f12,Average
06507ea87c,Average
06584584d0,Average
0658faddd3,Low Volume
065c0314c0,Average
065dd572cb,Low Volume
0669870b12,Low Volume
066f848435,Average
0673ba122d,Average
0683bf4cbe,Average
06886c579b,Single Tx
068da9961c,Average
068ffe1734,Single Tx
06919faa0d,Very Low Volume
069387ea71,Low Volume
0694eeac36,Very Low Volume
069a853a27,Low Volume
06a3883e9e,Average
06b38a8036,High Vol: High Tx Amount + Low Freq
06b54b8e90,Average
06b620588a,Average
06ba8a259d,High Vol: High Tx Amount + Low Freq
06bb3cd095,Low Volume
06ce3d206e,Single Tx
06cfe42c88,Average
06d30e9933,Average
06d8f8eb2b,Average
06db1f9f6f,Average
06dd44a157,Low Volume
06dee9bd7f,Very Low Volume
06e2f76af2,Average
06e4a6a542,Single Tx
06e69bee48,High Vol: Low Tx Amount + High Freq
06ea7b2a13,Average
06eb50b397,Very Low Volume
06f1f36773,Very Low Volume
06f6b8950b,Single Tx
06fde885e9,Average
06fe79e266,Very High Volume
07050daa5a,Average
0708932ae4,Average
070a64fdb2,Average
0710329a79,Average
0710b48578,Very Low Volume
0713c6c0b2,Single Tx
071b8458d7,Average
071c58ca63,Low Volume
072190128d,Average
073172886e,Average
07474ff1b3,Average
0757f77d48,Average
075d0b212f,Average
075e1884cc,Low Volume
076f22d71a,Average
076f4223d9,Average
076fcc6524,Average
0771a6019c,Average
07772823a7,Single Tx
07858fb54b,Average
07861ae47a,Low Volume
0795f8b43f,Single Tx
0799af98a2,Single Tx
079eaddbd7,Low Volume
07a69c302b,Average
07ac12f30c,Low Volume
07b228da98,High Vol: High Tx Amount + Low Freq
07b2f186c2,Average
07b3639663,Average
07bca2628f,Very Low Volume
07c91f9cc7,High Vol: Low Tx Amount + High Freq
07c988e894,Single Tx
07cabcb557,High Vol: Low Tx Amount + High Freq
07ce9e198f,Average
07db279239,High Vol: Low Tx Amount + High Freq
07dc3c8133,Very Low Volume
07de7f5aa7,Very Low Volume
07e13536d0,Average
07e2c817a1,Average
07e69164b6,Average
07eaf7531c,Average
07ee59a601,Average
07f13ce0d2,Very Low Volume
07f6e186bc,Low Volume
07fef2abe3,Single Tx
0805e44349,Average
0812c61fff,Low Volume
08133d3feb,Average
0817df113e,Average
081cba096f,Very High Volume
081da722da,Single Tx
081dd229f9,Single Tx
08272ad469,Single Tx
08289a8ff8,Average
082cc080a7,Low Volume
082df6d10c,Average
0832666b9e,Low Volume
083430c126,Low Volume
08346edce3,High Vol: High Tx Amount + Low Freq
0838e4078e,High End
083988f3ed,Average
083abbf551,Very Low Volume
083d89f996,Very Low Volume
0849256ce5,Average
084c50fa18,Average
084d37cc87,Low Volume
085387bf38,Average
0855daecdf,Average
085675f973,Low Volume
0858e2eec9,Single Tx
0869e40980,Very Low Volume
086f4ab64f,Average
08724a78fd,Average
0873bbb5ff,Average
08798ceafd,Average
088b6b8268,Low Volume
088f8fe935,Low Volume
089c81cedb,Average
089cbf5125,Average
08a29bc58e,Low Volume
08b5bdcc50,Average
08bd1a5e18,Average
08c0acfdf4,Low Volume
08c263b417,Very Low Volume
08cfeff7c8,Low Volume
08d65db79c,High Vol: High Tx Amount + Low Freq
08d662e3f7,High Vol: High Tx Amount + Low Freq
08da21a70b,High Vol: High Tx Amount + Low Freq
08da2d4cbe,Average
08dacaed7d,Low Volume
08dbcb19eb,Single Tx
08e3774a3d,Average
08e5ab2206,Average
08ee7ca022,High Vol: Low Tx Amount + High Freq
08f31d2060,Low Volume
08f8b065b2,Average
08fd62f07d,Average
09040f9ece,Low Volume
090819f8b4,Average
090958289c,Average
090b2e8722,Average
090f4a9b29,Average
091608d7fe,Single Tx
092266f14e,Average
0922aa4a1c,Average
0936e10a2a,Average
093bb0a4d7,Average
094ba7fc93,Average
094cee4236,Average
094d204f31,Low Volume
094d5502f7,Average
0950da1dfe,Average
0955c7fd1c,Single Tx
095858d6a7,Single Tx
09597df37a,Single Tx
09627d24e7,Average
09689dc3f0,Average
096ab94651,High Vol: High Tx Amount + Low Freq
096abf1fc1,Average
096d61582c,Average
096ee20988,Average
0972e100cc,Low Volume
097669f1f0,Low Volume
097dada110,Low Volume
097dbd1358,High Vol: High Tx Amount + Low Freq
098303729a,Average
098ee0e6ca,Average
0990beebc5,Average
09a45c7006,Very Low Volume
09a5e17225,Average
09abd93684,Average
09ae80dcb7,Very Low Volume
09b0864a3a,High Vol: Low Tx Amount + High Freq
09b5e3d475,Average
09b604ebf7,High Vol: High Tx Amount + Low Freq
09bfac874f,Average
09c186482d,Very Low Volume
09c1c3dff1,Average
09c9956adc,Very Low Volume
09cbdb193e,Low Volume
09cd9bce5c,Average
09d00ef9dc,Average
09d48e6360,Average
09d5dd8e9b,Average
09d6f1f84a,Average
09d9f3e0e1,Average
09de1ec789,Average
09e1c644f6,Average
09ee333b51,Very Low Volume
09efcfb391,Average
09f16a42a2,High Vol: High Tx Amount + Low Freq
09f66ceb4b,Average
09f82bb296,High Vol: Low Tx Amount + High Freq
09fd4e4c70,Average
09ff247913,Average
0a0167fbdb,Single Tx
0a024af532,Average
0a058df9f0,Average
0a0b0f5cf1,Low Volume
0a0d8d3537,Very Low Volume
0a0f2434bb,Average
0a0f945c59,Average
0a1ca14958,Single Tx
0a1dbf841c,Low Volume
0a24e57183,Single Tx
0a24fde08d,Average
0a269f78e4,Average
0a28a894fb,Average
0a2a27ce09,Average
0a309e574d,Average
0a34f05383,Average
0a36ae43c9,Single Tx
0a46f04a38,Average
0a4d004307,Low Volume
0a4da2ae03,Very Low Volume
0a4f9d529b,Average
0a556ad0a3,Low Volume
0a58093177,Single Tx
0a603fe5dc,Single Tx
0a63ae5fa9,Low Volume
0a65298b4a,High Vol: High Tx Amount + Low Freq
0a6c6685a9,Very Low Volume
0a6c732002,Average
0a6ddecc17,Average
0a7047269a,Very Low Volume
0a752679ec,Average
0a7890e3ac,Average
0a7cabbe5d,Average
0a7d56323b,High Vol: High Tx Amount + Low Freq
0a7e135108,Low Volume
0a85289b53,High Vol: Low Tx Amount + High Freq
0a8cf62f3a,Average
0a90229a60,Average
0a92d44d9f,Average
0a97bb20a5,Average
0aa3f95957,Average
0aa4941875,Single Tx
0aaab17751,Average
0ab494ace9,Single Tx
0abe66f34e,Very Low Volume
0abef52aed,High Vol: Low Tx Amount + High Freq
0abf34ad85,Average
0ac14a7806,Single Tx
0ac20d2d30,Average
0ac251e107,Single Tx
0ad401bfd2,Very Low Volume
0ad5b051ff,Average
0ad7ef964a,Low Volume
0adefa3961,High Vol: High Tx Amount + Low Freq
0ae0a21133,Average
0ae2b1b85d,Low Volume
0ae3655030,Average
0aead46726,Single Tx
0aefb040fb,Single Tx
0af1ab9c9c,Average
0af62f356f,Very Low Volume
0af965e599,Low Volume
0afee62800,Average
0b054db33f,Average
0b0911915a,Very Low Volume
0b0ea71d37,Very High Volume
0b11bfd26d,Low Volume
0b17be7b2a,Low Volume
0b229bf299,Average
0b229d996f,High Vol: Low Tx Amount + High Freq
0b246fcfef,Low Volume
0b258d808c,Average
0b2abcaf8a,Average
0b35b79847,Average
0b362b2808,Average
0b3772bc42,Average
0b3b179a82,High Vol: Low Tx Amount + High Freq
0b3c07e00a,High Vol: Low Tx Amount + High Freq
0b410417da,Single Tx
0b41b2c3ec,Low Volume
0b48de803f,Low Volume
0b4ce03036,Average
0b539789f9,Single Tx
0b574b35f6,Average
0b5be2151f,Average
0b63d005d4,Average
0b6780cd15,Average
0b6d7fc989,Average
0b6efe38c8,Average
0b722eb558,Low Volume
0b72977b08,Average
0b7af3c1b0,Average
0b82557b6c,Average
0b83e16799,Average
0b88f468ca,High Vol: Low Tx Amount + High Freq
0b963921ac,Single Tx
0b997b5f1b,Average
0b9a741bf0,Average
0b9bfe6095,Single Tx
0ba0fff32e,Average
0ba1c81e18,Single Tx
0ba3b2297d,Average
0ba413567e,Low Volume
0ba41a5eba,Average
0ba5bcfca9,Average
0baaedfc9a,Average
0bb0c6ecce,Average
0bb86502f7,Very Low Volume
0bb915497a,Very Low Volume
0bbc1ca47d,Low Volume
0bc02576d0,Single Tx
0bc35f3cb5,Average
0bc3f86223,Low Volume
0bc75e5563,Low Volume
0bcd3c6786,Average
0bcf8c35cc,Average
0bd33f73df,Average
0bd9f2e4c1,Single Tx
0bdc2ed88a,Low Volume
0beebef6ce,Average
0bf496060d,Average
0bf7dbf7ac,Very Low Volume
0bf85a1700,Average
0bf8e4a947,Single Tx
0bf97b25d1,Single Tx
0c012ea0f1,Single Tx
0c0a3bca11,Average
0c104de64d,Average
0c14bda5db,Average
0c15456229,Low Volume
0c1a5da60c,Average
0c1bc36fb4,Average
0c2082e95b,Average
0c325710ec,Single Tx
0c36b7e6c7,Low Volume
0c41bc0e25,Low Volume
0c42436833,Average
0c42f7bb96,Average
0c43e8ca9c,Average
0c4870a29c,Very Low Volume
0c4ce6f26c,Average
0c4cf38491,Average
0c4d774d5d,Single Tx
0c51aba006,Average
0c523ac68b,Average
0c55cbcfa3,Average
0c60254148,Average
0c624ef0d9,Average
0c6a6d801c,Very Low Volume
0c7682e1fa,Average
0c7ddb67ee,Average
0c8449b643,High Vol: Low Tx Amount + High Freq
0c848795d7,Average
0c85a496e7,Single Tx
0c87f808d0,High Vol: Low Tx Amount + High Freq
0c8b81813d,Low Volume
0c921efcd7,Average
0c9299d5ff,Low Volume
0c988402c3,Low Volume
0c9a5a4a5f,High Vol: Low Tx Amount + High Freq
0c9bb617f4,Low Volume
0ca55b00bb,Average
0ca7e35992,Average
0cab60aad0,Average
0cb0179765,Single Tx
0cb50c6516,Average
0cb8d40c46,Single Tx
0cc4c184f5,Single Tx
0cc4c85503,Average
0cce25f27e,Very Low Volume
0cd1a9a119,Very Low Volume
0cd5f38d30,Average
0cd8d199c7,Very Low Volume
0cdafd37b6,High Vol: Low Tx Amount + High Freq
0cdd8f9a9a,Average
0cde374cf3,Low Volume
0cec9f5811,Average
0ceeca5e66,Low Volume
0cf3a4dbe4,Average
0cf3c80825,Average
0cf7b0527d,Average
0cf8ce0e60,Very Low Volume
0cfa341f4b,Average
0cfe60ebd0,Average
0d0396bd2c,Low Volume
0d0737f944,Average
0d0d5c5b00,Low Volume
0d126dad44,Average
0d1860186a,Average
0d19c0e3c5,Low Volume
0d1fb59de7,High Vol: Low Tx Amount + High Freq
0d211411e8,Average
0d2764441e,Average
0d2b8355b8,High Vol: Low Tx Amount + High Freq
0d2ba61662,Very Low Volume
0d2d6f3872,Average
0d38676fad,Average
0d3e630e6d,Low Volume
0d413426ff,Average
0d44bba32b,Very Low Volume
0d46774419,Average
0d4e3d1fd0,Single Tx
0d4f683729,Average
0d5031dd6a,Very Low Volume
0d590ee998,Single Tx
0d5c5a2eeb,Very Low Volume
0d66846513,Average
0d68b74d3f,Average
0d6cf3f065,Average
0d71e05644,Average
0d7738b958,Single Tx
0d78a0fea0,Low Volume
0d872bca32,Average
0d8c24e362,Low Volume
0d910b4d1b,Average
0d970b6c59,High Vol: Low Tx Amount + High Freq
0d9798b5cd,Average
0d9833a896,Average
0d9b457179,High Vol: High Tx Amount + Low Freq
0d9dfc517b,Average
0da355acb7,Average
0da551e393,Average
0da6268949,Average
0da85f799d,Average
0da9248d6b,Very Low Volume
0daee23fa7,High Vol: Low Tx Amount + High Freq
0daf2fd0f0,Average
0db1953624,Average
0db1ae0e81,Single Tx
0db5655e9d,Very Low Volume
0dc1aa4ec0,Average
0dc71684a3,Average
0dc729ce0e,Very Low Volume
0dc8ce3948,Low Volume
0dca827aba,Average
0dcbbcf56b,Average
0dcdd33cbf,Average
0dcfe8a733,Average
0dd0df2376,Average
0dd197abb6,Very Low Volume
0dd70972ac,Average
0de10f7f0e,Average
0de98278f9,Average
0df0c17136,Average
0df19d9816,Average
0df98632de,High Vol: High Tx Amount + Low Freq
0dfbc66693,Average
0dfcc5c19d,Single Tx
0dfce273eb,Average
0e080e18c1,Single Tx
0e0a099082,Average
0e111e273a,Average
0e1285dc0f,Average
0e17fd8764,Average
0e1a144c52,Average
0e1ac57a3e,Average
0e1b2fa703,Average
0e1ba4f742,Single Tx
0e21c7d63a,Average
0e28152c28,Single Tx
0e31f264a4,Single Tx
0e342ef6d4,Average
0e373438d2,Low Volume
0e4074d3c1,Average
0e41bf5380,Very Low Volume
0e4abaae23,Average
0e4bf1a973,Very Low Volume
0e4cd290b9,Low Volume
0e4e8c28ec,Average
0e5623d2c9,Low Volume
0e57edbeea,Average
0e584587fc,Average
0e5b405f1c,Single Tx
0e5b9a5445,Average
0e5f13dbb0,Single Tx
0e6381ec09,Average
0e668ac906,Average
0e743b4611,Average
0e75ab58c8,Average
0e79ebb284,Average
0e823bd74d,Low Volume
0e8323741e,Low Volume
0e870ea3cd,Average
0e8a94eb46,High Vol: Low Tx Amount + High Freq
0e8bc14a74,Average
0e8ebf89e9,Average
0e8ef542d5,Average
0e99bce5c0,Average
0e9c9edb18,Single Tx
0ea61f6e6b,High Vol: High Tx Amount + Low Freq
0eaef325c5,Low Volume
0eb6bb02fe,High Vol: High Tx Amount + Low Freq
0ebec4b604,Single Tx
0ec3ad4bd4,Average
0ec8bc5759,Average
0ec9f57f10,Average
0ed30b752e,Single Tx
0ed595a6da,Low Volume
0ed850dfcd,Single Tx
0edc5c0cf2,Average
0ee6e88d7f,Average
0ee70bd595,Low Volume
0eec9b12ca,Average
0ef0cc42c3,Single Tx
0ef30be914,Average
0ef938389d,Low Volume
0f04dffa83,Average
0f0b6c6d29,Average
0f0cfba29d,Low Volume
0f10f35d0a,Average
0f1351b7a7,Average
0f1c0108af,Average
0f226d1ee4,Average
0f27eb078a,Average
0f2a712e17,High Vol: High Tx Amount + Low Freq
0f2d5219d0,Low Volume
0f319eef09,High Vol: High Tx Amount + Low Freq
0f3f5de835,Average
0f40677ab7,Average
0f4b6f1ee1,High Vol: Low Tx Amount + High Freq
0f4ccd8c6f,Low Volume
0f5d04243f,Low Volume
0f5db3e6b1,Average
0f5f24dba3,Average
0f602083ca,Very Low Volume
0f6827b118,Average
0f6a6fb94a,Low Volume
0f6ff4e984,Single Tx
0f770476b9,Average
0f78f250fd,Average
0f83947729,Average
0f856e41a9,Average
0f861be830,Average
0f89550050,Average
0f8c34468f,Single Tx
0f917ba8e4,Average
0f932901c2,Average
0f960ee8c7,Average
0f9a0f781f,Average
0f9a3906f3,Very Low Volume
0f9b4bb9a5,Single Tx
0f9b729157,Average
0fa1e2ca02,Average
0fa4b290f9,Very Low Volume
0fa5598002,Average
0fa8d3ebd7,Average
0faa296b36,Single Tx
0fac14acba,Low Volume
0fb1804b6e,Single Tx
0fb349c6db,Single Tx
0fc8467324,Average
0fc9c50344,Single Tx
0fcaceb3b0,Very Low Volume
0fcadcf296,Average
0fccf6db39,Average
0fcdd6712f,Average
0fd2eee00a,Average
0fd36740e2,Single Tx
0fdafd32eb,Single Tx
0fdd41da98,Average
0fdd9bd46c,Average
0fdeb241a9,Average
0fe05fa85c,Average
0fe3891876,Average
0fe7c5b4c4,Average
0fed0b534f,Average
0fedb46f21,Average
0ff6b83ef0,Single Tx
0ffa8f174a,Low Volume
0fff330e94,Average
1.01E+77,Average
1.20E+80,High Vol: High Tx Amount + Low Freq
1.36E+23,Average
1.50E+11,Average
1.50E+36,Single Tx
1.53E+07,Average
1.59E+35,Single Tx
1002357002,Low Volume
10050a75fe,Average
1006410b0f,Single Tx
10066dc0cd,Average
100ca319be,Average
100fce6e8a,Low Volume
1010abcd79,Low Volume
101774b22a,Average
101d0c7d90,Average
1020d96aac,Low Volume
1021b46076,Average
102ccaaf5f,Average
102e6602b6,Low Volume
10354a8d59,Single Tx
103a26d267,Average
103d1a7af6,Average
10469dd1dd,Average
104b6e53aa,Average
105b0428ca,Average
10605bfae4,Single Tx
10634ec8d9,Average
106d43dfe9,Low Volume
10708ba763,Average
1070aa9b56,Average
107149043,Average
1071d8be34,Low Volume
1076588f29,Low Volume
107e418cd3,Average
108691b721,Single Tx
108865deb9,Single Tx
108d45de82,Low Volume
10956928d5,Average
109609fe37,Average
10974d67fa,Average
109b3af2f2,Average
109ce85b3d,Low Volume
109ef16484,Low Volume
10af4375d9,Single Tx
10b23c22ea,Average
10b5ba2dfc,Average
10bc865aa0,Single Tx
10c212a21c,Average
10c66bc0f5,Average
10d166d112,Average
10d656a25f,Average
10dd392719,Low Volume
10ec85b14e,Average
10eca00182,Average
10f3baa29f,Very Low Volume
10f60ffd1b,Average
10f71240be,Low Volume
11090b955f,Single Tx
111429408b,Average
11181f6d9d,Low Volume
111dfbaa63,Average
111f4871b7,Average
112052893c,Average
1120b6613c,Average
112bc44f39,Very Low Volume
112c2c0bf3,Average
1133d15e78,Average
113c6e2055,Very Low Volume
11464843d0,Average
11509f4843,Low Volume
1158f79eb4,Average
115a9836c9,Low Volume
115aa594e9,Single Tx
115acb617d,Average
115bf25f6b,Average
115e4f9db7,Low Volume
116b98b2d3,Average
116e6da3a5,Average
11700f6a64,Low Volume
11705c592b,Average
117309a6d0,Low Volume
11734170a6,Average
11743ad96f,Low Volume
11760d401f,Very Low Volume
117ac05c93,Single Tx
1185d16b57,Average
1187bdd21c,Average
118805a91d,Average
11880ae7f7,Very Low Volume
1189c7e2b4,Average
118e36d41f,Average
11975f32df,High Vol: High Tx Amount + Low Freq
119ad681af,Low Volume
11a25fdf2f,Single Tx
11a2bc3360,Average
11a4fd1132,Average
11a9efa930,Average
11ab9239d0,Very Low Volume
11ad15aa3b,Low Volume
11b7c6a67a,Average
11b99ec98d,Very Low Volume
11ba6a7ddd,Low Volume
11c2491fa7,Average
11ca716a2c,Average
11d9143c14,Average
11db110579,Average
11df16d295,High Vol: Low Tx Amount + High Freq
11e5237528,Average
11e8dfd52f,Average
11f65fecdd,Average
11f915093e,Average
11f97078d0,Low Volume
11fbac8852,Average
11ff8eab83,Average
1202d8adae,Average
120fcde6bb,Low Volume
12108eb9de,Average
12125db321,Average
12157b6089,Low Volume
12179dc0f0,Single Tx
121d88aa10,Single Tx
122449c1fe,Average
1226624910,Average
122a1f465d,Low Volume
122bd8792e,Average
122ceb115c,Average
122d9c0253,Average
123de6713f,Single Tx
12418d7f3e,Average
1241f0963e,Single Tx
124321be40,Average
124d157d5e,Average
125275b322,Average
1253ad5fc5,Low Volume
1258ece644,Average
125f26a6bc,Very Low Volume
1264d6bdce,Average
1268ebc853,Average
12788ad222,Average
1288dbf1b4,High Vol: High Tx Amount + Low Freq
1289b54c49,Average
12923c0c32,Very Low Volume
12928fcedd,Average
1292c5cec1,Single Tx
129f2874f7,Very Low Volume
12a5a027c2,Average
12a74bb315,Low Volume
12b5412cb5,Average
12ba28031b,Average
12d1ae10b1,Low Volume
12d2cbd52a,Average
12da300c5c,Low Volume
12e5f58798,Average
12e6d8b94c,Low Volume
12ecce9f0d,Single Tx
12eeb346ba,Average
12ef7c3dcb,Average
12f172e87e,Average
12fcd91902,High Vol: High Tx Amount + Low Freq
12fee582d8,Average
1300b64523,Average
1302234fdd,Low Volume
1303312413,Low Volume
1304500882,High Vol: High Tx Amount + Low Freq
